"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-08",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-09",,,,,"0.70",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-10",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-11",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-12",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-14",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-15",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-16",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-17",,,,,"0.16","1.3","1.3",,,,,,,"0.2","0.2",,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-18",,,,,"0.00","0.0","0.0",,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-19",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-20",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-21",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-22",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-23",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-24",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-25",,,,,"0.09",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-26",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-27",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-28",,,,,"0.11","2.0",,,,,,,,,"0.1",,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-29",,,,,"0.00","0.0","1.4",,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-30",,,,,"0.00","0.0","1.3",,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-01-31",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-01",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-02",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-03",,,,,"1.38",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-05",,"    2","1.46",,,,"2.2",,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-06",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-07",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-08",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-09",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-10",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-11",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-12",,,,,"0.04",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-14",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-15",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-16",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-17",,,,,"0.04",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-18",,,,,"2.41",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-19",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-20",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-21",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-22",,,,,"0.41",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-23",,,,,"0.66",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-24",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-25",,,,,"0.71",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-26",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-27",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-02-28",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-01",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-02",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-03",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-06",,,,,"0.32",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-07",,,,,"0.91",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-08",,,,,"0.09",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-09",,,,,"0.03",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-10",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-11",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-12",,,,,"0.07","1.6",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-14",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-15",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-16",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-17",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-18",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-19",,,,,"0.21",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-20",,,,,"0.05",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-21",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-22",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-23",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-24",,,,,"0.11",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-25",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-26",,,,,"0.16",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-27",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-28",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-29",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-30",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-03-31",,,,,"0.13",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-01",,,,,"0.04",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-02",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-03",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-06",,,,,"0.34",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-07",,,,,"0.51",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-08",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-09",,,,,"0.06",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-10",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-11",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-12",,,,,"0.25",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-13",,,,,"0.01","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-14",,,,,"1.21",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-15",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-16",,,,,"0.03",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-17",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-18",,,,,"0.32",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-19",,,,,"0.23",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-20",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-21",,,,,"0.08",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-22",,,,,"0.12",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-23",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-24",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-25",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-26",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-27",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-28",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-29",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-04-30",,,,,"0.21",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-01",,,,,"0.03",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-02",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-03",,,,,"0.17",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-04",,,,,"0.51",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-06",,,,,"0.54",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-07",,,,,"0.41",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-08",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-09",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-10",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-11",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-12",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-14",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-15",,,,,"0.31",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-16",,,,,"0.26",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-17",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-18",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-19",,,,,"0.52",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-20",,,,,"0.86",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-21",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-22",,,,,"0.66",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-23",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-24",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-25",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-26",,,,,"0.16",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-27",,,,,"0.48",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-28",,,,,"0.54",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-29",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-30",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-05-31",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-01",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-06",,"    5","0.44",,,,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-07",,,,,"1.06",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-08",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-09",,,,,"1.76",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-10",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-11",,,,,"0.08",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-12",,,,,"0.12",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-13",,,,,"0.00",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-14",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-15",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-16",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-17",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-18",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-19",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-20",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-21",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-23",,,,,"0.74",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-24",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-25",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-26",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-27",,,,,"0.02","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-28",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-29",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-06-30",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-01",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-02",,,,,"0.37",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-03",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-05",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-06",,,,,"0.01",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-07",,,,,"0.82",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-08",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-09",,,,,"0.34",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-10",,,,,"0.28",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-11",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-12",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-13",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-14",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-15",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-16",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-17",,,,,"0.04",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-18",,,,,"1.04",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-19",,,,,"0.24",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-20",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-21",,,,,"0.09",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-22",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-23",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-24",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-25",,,,,"0.10",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-26",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-27",,,,,"0.16",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-28",,,,,"0.51",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-29",,,,,"0.02",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-30",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-07-31",,,,,"0.23",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-08-01",,,,,"0.15",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-08-02",,,,,"0.04",,,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-08-03",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-08-04",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,,
"US1KYBN0024","FLORENCE 1.4 WSW, KY US","2022-08-05",,,,,"0.05",,,,,,,,,,,,,,,,,,,,,
